# gramatica
Q | Il faut que tu ＿＿ plus tôt demain. | viennes | viens | viendras | viendrais | Après il faut que: subjonctif présent.
Q | Bien qu'il ＿＿ malade, il est venu travailler. | soit | est | sera | était | Bien que + subjonctif.
Q | Je doute qu'il ＿＿ raison. | ait | a | aura | avait | Douter que + subjonctif.
Q | Je pense qu'il ＿＿ raison. | a | ait | eût | aurait été | Penser (affirmatif) + indicatif.
Q | Je ne pense pas qu'il ＿＿ venir. | puisse | peut | pourra | pouvait | Penser négatif + subjonctif.
Q | Si j'＿＿ plus de temps, je voyagerais davantage. | avais | aurais | aie | ai | Si + imparfait, conditionnel présent.
Q | Si tu ＿＿ prévenu, nous serions venus. | avais | aurais | avais eu | as | Si + plus-que-parfait, conditionnel passé.
Q | Quand il ＿＿, nous mangerons. | arrivera | arrive-t-il | arriverait | arrivât | Après quand, futur simple pour futur.
Q | Après qu'il ＿＿ parti, elle pleurera. | sera | soit | fût | serait | Après que + futur antérieur pour une action antérieure au futur.
Q | Le livre ＿＿ je t'ai parlé est épuisé. | dont | que | où | lequel de | Parler de qqch: dont.
Q | L'homme ＿＿ j'ai rencontré hier est médecin. | que | dont | qui | où | COD relatif: que.
Q | La ville ＿＿ il habite est très belle. | où | que | dont | laquelle | Lieu: où.
Q | Voici la raison pour ＿＿ il a démissionné. | laquelle | lequel | qui | dont | Pour + relatif féminin: laquelle.
Q | Les amis avec ＿＿ je voyage sont canadiens. | qui | lesquels de | dont | que | Personnes après préposition: qui.
Q | Ce ＿＿ me plaît, c'est sa franchise. | qui | que | dont | quoi | Ce qui = sujet.
Q | Ce ＿＿ il faut, c'est du courage. | qu'il | qui | dont | quoi | Ce que/qu'il = COD.
Q | Il est parti sans ＿＿ dire au revoir. | nous | nous le | leur | nos | Sans + infinitif avec pronom: sans nous dire.
Q | Elle a acheté des pommes et ＿＿ a donné à ses voisins. | en | les | leur | y | En remplace un partitif/des.
Q | Je pense souvent à mes vacances; j'＿＿ pense souvent. | y | en | les | leur | Penser à qqch: y.
Q | As-tu parlé à Paul ? Oui, je ＿＿ ai parlé. | lui | le | y | en | Parler à qqn: lui.
Q | Les fleurs, je ＿＿ ai offertes à ma mère. | les lui | lui les | leur les | les y | Ordre des pronoms: les lui.
Q | Donne-＿＿ le livre. | -moi | moi | -me | me | Impératif affirmatif: donne-moi.
Q | Ne ＿＿ le dis pas ! | me | moi | le moi | m'y | Impératif négatif: ne me le dis pas.
Q | Nous avons vu ＿＿ films hier. | de très bons | des très bons | de très bonnes | des très bonne | Devant adjectif pluriel: de.
Q | Il n'a pas ＿＿ argent. | d' | de l' | du | des | Négation: pas de/d'.
Q | ＿＿ deux heures que je l'attends. | Cela fait | C'est fait | Il fait | Elle est | Cela fait + durée + que.
Q | Ils se sont ＿＿ la main. | serré | serrés | serrée | serrer | Accord: COD après le verbe ⇒ pas d'accord.
