# gramatica
Q | 彼は周囲の反対を＿＿、会社を辞めて独立した。 | よそに | ものの | かたわら | ならではの | 〜をよそに = sin hacer caso de (反対をよそに).
Q | 彼女は子育ての＿＿、翻訳の仕事を続けている。 | かたわら | 余儀なく | あげく | からには | 〜かたわら = a la vez que (actividad paralela).
Q | この料理は老舗＿＿味だ。 | ならでは | にひきかえ | ゆえに | といえども | 〜ならでは = solo posible en/de.
Q | 悲惨な事故の報告を聞いて、涙を＿＿。 | 禁じ得なかった | 免れなかった | 余儀なくされた | 問わなかった | 〜を禁じ得ない = no poder contener.
Q | 彼の努力は称賛に＿＿。 | 値する | 相当する | あたらない | すぎない | 〜に値する = digno de.
Q | 台風の接近＿＿、試合は中止を余儀なくされた。 | に伴い | をよそに | といえども | かたわら | 〜に伴い = junto con / debido a.
Q | 会議が終わる＿＿、彼は部屋を飛び出した。 | や否や | 以上は | ものの | ばかりに | 〜や否や = tan pronto como.
Q | 彼は約束を破った＿＿、信用を失った。 | が最後 | からには | ものの | といえども | 〜が最後 = una vez que (resultado negativo).
Q | 彼は自分の間違いを認める＿＿、言い訳ばかりしている。 | どころか | ばかりか | ながらも | からこそ | 〜どころか = lejos de.
Q | 彼は経験が浅い＿＿、責任感が強い。 | ながらも | とあって | かたがた | ずくめ | 〜ながらも = aunque.
Q | 子供の成長を見る＿＿、嬉しさがこみ上げてくる。 | につけ | にひきかえ | をよそに | に至って | 〜につけ = cada vez que.
Q | 事ここに＿＿、後悔しても遅い。 | 至っては | 至っても | 至らずに | 至るのみ | 事ここに至っては = llegados a este punto.
Q | 彼は忙しい＿＿、毎日ジョギングを欠かさない。 | にもかかわらず | ゆえに | からには | とあって | 〜にもかかわらず = a pesar de.
Q | 医師である＿＿、患者の秘密を守る義務がある。 | 以上 | ものの | ばかり | ながら | 〜以上 = puesto que.
Q | 約束した＿＿、必ず守るべきだ。 | からには | ものの | ながら | ものを | 〜からには = ya que (obligación).
Q | 彼は頭がいい＿＿、努力もする。 | うえに | わりに | ものの | ながら | 〜うえに = además de.
Q | 給料が安い＿＿、仕事は大変だ。 | うえに | ばかりに | ものの | からには | 〜うえに = además (dos aspectos negativos).
Q | 勉強しなかった＿＿、試験に落ちた。 | ばかりに | ものを | わりに | ながらも | 〜ばかりに = solo por (resultado negativo).
Q | 彼は年の＿＿元気だ。 | わりに | くせに | せいで | あまり | 〜わりに = para/en comparación con.
Q | 疲れていた＿＿、その日は早く寝てしまった。 | こともあって | ことなく | ことのないよう | ことか | 〜こともあって = en parte porque.
Q | 一度＿＿とはいえ、彼の功績は大きい。 | 退職した | 退職して | 退職する | 退職しない | 〜とはいえ = aunque.
