# gramatica
Q | Espero que você ＿＿ bem na prova. | vá | vai | irá | iria | Após esperar que: subjuntivo presente.
Q | Se eu ＿＿ mais tempo, viajaria mais. | tivesse | tenho | terei | teria | Se + imperfeito do subjuntivo + condicional.
Q | Se eu ＿＿ a verdade, teria agido diferente. | soubesse | sei | saberei | soube | Imperfeito do subjuntivo (irreal).
Q | Quando você ＿＿ , me avise. | chegar | chega | chegou | chegaria | Futuro do subjuntivo após quando.
Q | Se você ＿＿ o dinheiro, pode viajar. | tiver | tem | teve | teria | Futuro do subjuntivo em hipótese possível.
Q | Assim que ele ＿＿ , começaremos. | chegar | chega | chegou | chegava | Assim que + futuro do subjuntivo.
Q | Embora ＿＿ cansado, terminou o trabalho. | estivesse | estava | esteve | estará | Embora + subjuntivo.
Q | É importante que todos ＿＿ presentes. | estejam | estão | estarão | estavam | Expressão de necessidade + subjuntivo.
Q | Duvido que ele ＿＿ razão. | tenha | tem | terá | tinha | Dúvida + subjuntivo.
Q | Tenho certeza de que ele ＿＿ razão. | tem | tenha | tivesse | tiver | Certeza + indicativo.
Q | O livro ＿＿ te falei é ótimo. | de que | que | onde | o qual de | Falar de: de que.
Q | A cidade ＿＿ moro é linda. | onde | cujo | que | quem | Lugar: onde.
Q | O homem ＿＿ carro foi roubado registrou queixa. | cujo | cuja | que | onde | Cujo concorda com o substantivo posterior.
Q | Os amigos com ＿＿ viajo são canadenses. | quem | que a | cujos | os quais de | Pessoas após preposição: quem.
Q | Foi um erro ＿＿ ninguém percebeu. | que | cujo | onde | quem | Relativo sujeito.
Q | Ele se sentou ＿＿ mesa. | à | a | há | as | Crase: a + a mesa (sentar-se à mesa).
Q | Entreguei ＿＿ o livro. | lhe | ele | o | a ele o | Objeto indireto: lhe.
Q | Vou ＿＿ dizer a verdade. | te | ti | tu | -te | Pronome oblíquo com infinitivo.
Q | Ela ＿＿ deu o livro. | me | mim | eu | comigo | Objeto indireto: me.
Q | Ele fez o trabalho ＿＿ mim. | para | a | com | de | Após preposição: pronome tônico mim.
