# gramatica
Q | ＿＿他很努力，成绩还是不理想。 | 尽管 | 何况 | 不如 | 因此 | 尽管…还是: 让步.
Q | 这件事连专家都解决不了，＿＿我们呢？ | 何况 | 尽管 | 反而 | 倘若 | 连…都…，何况…: 递进反问.
Q | 他不但没有生气，＿＿笑了起来。 | 反而 | 因此 | 何况 | 于是 | 反而 = al contrario.
Q | 你＿＿不知道这个消息？大家都在讨论。 | 难道 | 何必 | 何况 | 岂能 | 难道…吗 = ¿acaso…?
Q | 这么晚了，他＿＿还没到家。 | 怎么 | 何必 | 岂 | 未免 | 怎么 = cómo es que.
Q | 你这样做＿＿太冒险了。 | 未免 | 何况 | 尽管 | 以便 | 未免 = resulta demasiado.
Q | 外面下着大雨，他＿＿骑车去上班。 | 竟然 | 何况 | 以免 | 以便 | 竟然 = sorprendentemente.
Q | 请把手机调成静音，＿＿影响别人。 | 以免 | 以便 | 何况 | 既然 | 以免 = para no.
Q | 他每天早起锻炼，＿＿保持身体健康。 | 以便 | 以免 | 何况 | 免得 | 以便 = a fin de.
Q | ＿＿你已经决定了，我就不再劝你了。 | 既然 | 即使 | 尽管 | 假如 | 既然 = ya que.
Q | ＿＿明天下雨，比赛也照常进行。 | 即使 | 既然 | 因为 | 于是 | 即使…也 = aunque.
Q | ＿＿你怎么解释，他也不会相信。 | 无论 | 既然 | 何况 | 与其 | 无论…都/也.
Q | ＿＿等待，不如主动出击。 | 与其 | 既然 | 无论 | 除非 | 与其…不如…
Q | 我＿＿饿着肚子，也不愿吃那种东西。 | 宁可 | 与其 | 何必 | 何况 | 宁可…也不…
Q | ＿＿你亲自去，这件事才能办成。 | 除非 | 既然 | 即使 | 虽然 | 除非…才…
Q | 他＿＿聪明，＿＿勤奋。 | 既…又 | 与其…不如 | 之所以…是 | 无论…都 | 既…又… = tanto… como.
Q | 他之所以成功，＿＿他从不放弃。 | 是因为 | 所以 | 尽管 | 何况 | 之所以…是因为…
Q | 这个问题越想＿＿复杂。 | 越 | 更 | 才 | 都 | 越…越…
Q | 一切顺利，＿＿最后出了点小问题。 | 只是 | 因此 | 何况 | 与其 | 只是 = solo que.
Q | 他的话＿＿有道理，但我还是不同意。 | 固然 | 即使 | 何况 | 以便 | 固然…但是…
Q | 这份报告＿＿写得不够详细，但基本上说明了问题。 | 虽然 | 既然 | 假如 | 以便 | 虽然…但…
Q | 他一进门＿＿倒在沙发上睡着了。 | 就 | 才 | 再 | 却 | 一…就…
Q | 直到深夜，他＿＿回到家。 | 才 | 就 | 已 | 曾 | 直到…才…
Q | 他＿＿三十岁了，还没结婚。 | 都 | 才 | 就 | 刚 | 都…了 = ya (subraya).
Q | 我们公司才成立＿＿一年。 | 不到 | 不了 | 不着 | 不下 | 不到 = menos de.
Q | 他把书＿＿在桌子上了。 | 放 | 拿 | 看 | 读 | 把字句: 把书放在桌上.
Q | 窗户被风＿＿开了。 | 吹 | 打 | 拿 | 写 | 被字句: 被风吹开.
Q | 他连饭＿＿顾不上吃。 | 都 | 也不 | 就 | 才 | 连…都…
Q | 这件事＿＿我看来并不重要。 | 在 | 对 | 从 | 给 | 在我看来.
Q | 这是一本＿＿孩子教育的书。 | 关于 | 对于 | 至于 | 由于 | 关于 + 主题 (modificador de 书).
Q | 他＿＿工作非常认真负责。 | 对 | 关于 | 至于 | 由于 | 对 + 对象 (actitud hacia).
Q | 关于价格，我们可以再谈；＿＿质量，绝对没问题。 | 至于 | 由于 | 关于 | 对于 | 至于 = en cuanto a.
Q | ＿＿天气不好，航班被取消了。 | 由于 | 至于 | 为了 | 关于 | 由于 = debido a.
Q | ＿＿准时到达，他提前一小时出发。 | 为了 | 由于 | 至于 | 关于 | 为了 = para.
Q | 他的回答＿＿模糊，没有人听懂。 | 十分 | 万一 | 何必 | 何况 | 十分 = muy.
Q | 这个方案＿＿可行，＿＿成本太高。 | 虽然/但 | 既然/就 | 与其/不如 | 宁可/也 | 虽然…但…
Q | 他说话总是＿＿，让人猜不透他的真实想法。 | 含糊其辞 | 一目了然 | 直截了当 | 开门见山 | 含糊其辞 = hablar con ambigüedad.
Q | 这个道理一目了然，不用再＿＿解释了。 | 多此一举 | 事半功倍 | 一举两得 | 一帆风顺 | 多此一举 = superfluo.
Q | 他做事＿＿，从不半途而废。 | 持之以恒 | 一心二用 | 三心二意 | 虎头蛇尾 | 持之以恒 = perseverante.
Q | 这家餐厅生意红火，每天都＿＿。 | 座无虚席 | 门可罗雀 | 冷冷清清 | 寥寥无几 | 座无虚席 = lleno.
Q | 这个小镇平时很冷清，游客＿＿。 | 寥寥无几 | 络绎不绝 | 川流不息 | 人山人海 | 寥寥无几 = muy pocos.
Q | 节日期间，景区游客＿＿。 | 络绎不绝 | 寥寥无几 | 门可罗雀 | 屈指可数 | 络绎不绝 = incesante.
Q | 他的成功并非偶然，而是＿＿努力的结果。 | 长期 | 长久以 | 长远 | 长寿 | 长期 = a largo plazo.
Q | 面对困难，我们要＿＿，不能退缩。 | 迎难而上 | 知难而退 | 半途而废 | 望而却步 | 迎难而上 = afrontar la dificultad.
Q | 这个决定让他＿＿，不知如何是好。 | 左右为难 | 得心应手 | 胸有成竹 | 应付自如 | 左右为难 = en un dilema.
Q | 他对这件事＿＿，很有把握。 | 胸有成竹 | 手足无措 | 一筹莫展 | 无从下手 | 胸有成竹 = con plena confianza.
Q | 突然停电，大家＿＿，不知怎么办。 | 手足无措 | 井井有条 | 胸有成竹 | 从容不迫 | 手足无措 = sin saber qué hacer.
Q | 他把办公室整理得＿＿。 | 井井有条 | 乱七八糟 | 杂乱无章 | 一塌糊涂 | 井井有条 = ordenado.
