# gramatica
Q | Mi vidis lin ＿＿ la stratangulo. | ĉe | al | per | pro | Loko sen movo: ĉe (ĉe la stratangulo).
Q | Ŝi sidas ＿＿ la seĝo. | sur | al | per | pri | Loko sur supraĵo: sur.
Q | Mi skribis la leteron ＿＿ plumo. | per | kun | sen | pro | Instrumento: per.
Q | Mi iros al la kinejo ＿＿ mia amiko. | kun | per | sen | pro | Akompano: kun.
Q | Li venis ＿＿ mi ne scias kial. | sed | ĉar | ke | kvankam | Konjunkcio: sed.
Q | Mi ne scias ＿＿ li venos. | ĉu | ke | ĉar | kvankam | Demando jes/ne en subfrazo: ĉu.
Q | Mi opinias ＿＿ li pravas. | ke | ĉu | kvankam | tial | Subordigo de aserto: ke.
Q | ＿＿ pluvis, ni iris promeni. | Kvankam | Ĉar | Kiel | Se | Koncesio: kvankam.
Q | ＿＿ li malsanas, li ne venis. | Ĉar | Kvankam | Kvazaŭ | Tamen | Kaŭzo: ĉar.
Q | Se mi ＿＿ riĉa, mi vojaĝus. | estus | estas | estos | estis | Kondiĉa: se…-us.
Q | Se li ＿＿ pli frue, ni ne perdus la trajnon. | venus | venos | venis | vena | Kondiĉa se…-us.
Q | Kiam mi ＿＿ hejmen, mi telefonos. | alvenos | alvenus | alvenis | alvenas | Estonteco: -os.
Q | Antaŭ ol li ＿＿, li lavis la manojn. | manĝis | manĝas | manĝos | manĝus | Antaŭ ol + pasinteco.
Q | Post kiam li ＿＿, li iris dormi. | manĝis | manĝos | manĝus | manĝas | Post kiam + pasinteco.
Q | Dum mi ＿＿, la telefono sonoris. | laboris | laboros | laborus | laboras | Simultaneco: -is.
Q | La viro, ＿＿ mi vidis hieraŭ, estas kuracisto. | kiun | kiu | kies | kian | Rilata pronomo, objekto: kiun.
Q | La virino, ＿＿ filo estas kuracisto, loĝas apude. | kies | kiu | kiun | kian | Posedo: kies.
Q | La libro, ＿＿ vi legas, estas interesa. | kiun | kiu | kies | kia | Objekto: kiun.
Q | Mi ne scias ＿＿ vi parolas. | pri kio | pri kiu | kio | pro kio | Demando pri temo: pri kio.
Q | Estas neniu ＿＿ povas helpi min. | kiu | kiun | kies | kian | Rilata pronomo subjekto: kiu.
Q | Ĉio ＿＿ li diris, estis vera. | kion | kio | kiu | kies | Post ĉio: kio/kion; ĉi tie objekto: kion.
Q | Ŝi estas tiel alta ＿＿ sia patro. | kiel | ol | ke | kvankam | Egaleco: tiel…kiel.
Q | Li parolas pli bone ＿＿ mi. | ol | kiel | ke | kvazaŭ | Pli bone ol.
Q | Tio estas la plej bela urbo ＿＿ la mondo. | en | de | inter | al | Superlativo: en la mondo.
Q | Li estas la plej juna ＿＿ la klaso. | el | de | en | pri | El + grupo: la plej juna el la klaso.
Q | La pomo estas ＿＿ la tablo. | sub | supre | super sur | ekster | Sub = sub la tablo.
Q | Li iris ＿＿ la vilaĝo. | al | ĉe la | en | pri | Direkto: al la vilaĝo.
Q | Mi trinkas ＿＿ trinkejo. | en | enen | tra | trans | En = ene de.
Q | Mi iris ＿＿ la pordo. | tra | trans | per | ĉe | Tra = trapasi.
Q | ＿＿ la nokto la stratoj estas mallaŭtaj. | Dum | Post | Per | Al | Dum + tempo.
Q | Li laboras ＿＿ la mateno ĝis la vespero. | de | el | pri | per | De…ĝis.
Q | Li leviĝis ＿＿ la sesa. | je | en | pri | ĉe | Je por horoj: je la sesa.
Q | Mi pensas ＿＿ vi. | pri | de | pro | por | Pensi pri.
Q | Ŝi ridas ＿＿ mia ŝerco. | pro | ĉe | sub | ĝis | Kaŭzo: pro.
Q | Ni laboras ＿＿ la paco. | por | pro | pri | de | Celo: por.
Q | La libro estas ＿＿ mi. | de | el | je | per | Posedo: de mi.
Q | Li estas ＿＿ Hispanio. | el | de | en | pro | Origino: el.
Q | La tablo estas farita ＿＿ ligno. | el | de | per | pri | Materialo: el.
Q | Mi ne povas vivi ＿＿ vi. | sen | sub | kun | per | Sen = sen.
Q | Malgraŭ la pluvo, ni ＿＿ promenis. | tamen | tial | ĉar | ke | Tamen = tamen.
Q | Li estas malsana; ＿＿ li ne venos. | tial | tamen | kvankam | ĉar | Rezulto: tial.
Q | Li laboras multe ＿＿ li ne estas riĉa. | kvankam | ĉar | tial | do | Koncesio.
Q | Mi estas laca; ＿＿ mi dormas. | do | tamen | kvankam | ĉu | Konkludo: do.
Q | La libroj ＿＿ mi aĉetis, estas bonaj. | kiujn | kiuj | kies | kian | Plurala objekto: kiujn.
Q | Mi vidas belan ＿＿ . | domon | domo | dome | domoj | Akuzativo: domon.
Q | Ŝi havas grandajn ＿＿ . | okulojn | okuloj | okulo | okuloin | Pluralo + akuzativo: okulojn.
Q | Kie vi loĝas? Mi loĝas ＿＿ Berlino. | en | enen | al | Berlinon | Loko: en Berlino.
Q | Kien vi iras? Mi iras ＿＿ . | Berlinon | Berlino | en Berlino | de Berlino | Direkto: Berlinon.
Q | La knabo salte ＿＿ sur la tablon. | saltis | saltas | saltus | saltu | Pasinteco: saltis.
Q | Mi volas ke vi ＿＿ . | venu | venas | venos | venus | Volitivo: venu.
Q | Li petis ke ŝi ＿＿ la fenestron. | fermu | fermas | fermis | fermos | Peto + volitivo.
Q | Ni ĝojas, ke vi ＿＿ ĉi tie. | estas | estu | estus | estos | Fakto post ĝoji: estas.
Q | Estas grave, ke ni ＿＿ fruaj. | estu | estas | estis | estus | Volitivo post grave.
Q | ＿＿ hodiaŭ estas varme! | Kiel | Kian | Kial | Kiu | Ekkria demando: kiel.
