# gramatica
Q | Я давно мечтал ＿＿ такой возможности. | о | про | за | над | Мечтать о + предложный падеж.
Q | Он ＿＿ этот вопрос с директором. | обсудил | обсудило | обсудили | обсудила | Согласование по роду: он обсудил.
Q | Мы гордимся ＿＿ успехами. | нашими | наши | наших | нашим | Гордиться + творительный: нашими успехами.
Q | Она интересуется ＿＿ . | литературой | литературу | литературе | литературы | Интересоваться + творительный.
Q | Он занимается ＿＿ . | спортом | спорт | спорту | спорта | Заниматься + творительный.
Q | Студенты сдали ＿＿ . | экзамены | экзаменов | экзаменам | экзаменами | Винительный множественного числа.
Q | Мы не сдали ＿＿ . | экзаменов | экзамены | экзаменам | экзаменах | После отрицания — родительный.
Q | У нас нет ＿＿ . | времени | время | временем | времени (нет) в дательном | Нет + родительный: времени.
Q | Мы едем ＿＿ Москву. | в | на | к | у | Направление в город: в Москву.
Q | Мы едем ＿＿ юг. | на | в | к | у | Направление на юг: на юг.
Q | Он вернулся ＿＿ работы. | с | из | от | у | Вернуться с работы (обратно из «на»).
Q | Он вернулся ＿＿ университета. | из | с | от | у | Из университета (в университете).
Q | Она пришла ＿＿ врача. | от | из | с | у | Пришла от врача.
Q | Он подошёл ＿＿ окну. | к | у | с | от | Подойти к + дательный.
Q | Он отошёл ＿＿ окна. | от | к | у | по | Отойти от + родительный.
Q | Мы живём ＿＿ реки. | у | в | по | на | Живём у реки.
Q | Он поехал ＿＿ родителям. | к | у | от | в | Поехать к + дательный.
Q | Он работает ＿＿ заводе. | на | в | к | у | Работать на заводе.
Q | Она учится ＿＿ университете. | в | на | к | у | Учиться в университете.
Q | Я ＿＿ книгу каждый вечер. | читал | прочитал | прочитаю | прочту | Повторяющееся действие — несовершенный: читал.
Q | Завтра я обязательно ＿＿ письмо. | напишу | пишу | писал | писать | Совершенный вид будущего: напишу.
Q | Вчера он долго ＿＿ письмо. | писал | написал | напишет | напишу | Длительность — несовершенный.
Q | Когда он ＿＿ домой, он лёг спать. | пришёл | приходил | приходит | приходя | Сначала пришёл, потом лёг.
Q | Дети ＿＿ в саду весь день. | играли | сыграли | играют (вчера) | сыграют | Длительность.
Q | Он всегда ＿＿ поздно. | приходит | придёт | пришёл | приходил бы | Постоянное действие.
Q | Если бы я ＿＿ время, я бы помог. | имел | имею | буду иметь | имел бы | Если бы + прошедшее: имел.
Q | Я бы поехал, ＿＿ у меня было время. | если бы | если | когда | пока | Условное: если бы.
Q | Хотя он ＿＿ устал, он продолжал работать. | очень | тоже | потому | поэтому | Хотя + придаточное уступки.
Q | Он не пришёл, ＿＿ был болен. | потому что | поэтому | хотя | чтобы | Причина: потому что.
Q | Он был болен, ＿＿ не пришёл. | поэтому | потому что | хотя | чтобы | Следствие: поэтому.
Q | Он пришёл раньше, ＿＿ подготовиться. | чтобы | потому что | хотя | если | Цель: чтобы.
Q | Я хочу, ＿＿ вы пришли. | чтобы | что | как | если | Желание: чтобы + прошедшее.
Q | Он сказал, ＿＿ придёт. | что | чтобы | если бы | ли | Придаточное изъяснительное: что.
Q | Человек, ＿＿ я видел вчера, — врач. | которого | который | которому | котором | Родительный/винительный: которого.
Q | Человек, ＿＿ я говорил, — врач. | с которым | которого | которому | которым (без предлога) | Говорить с кем: с которым.
Q | Книга, ＿＿ я читаю, интересная. | которую | которая | которой | которые | Винительный женского рода: которую.
Q | Город, в ＿＿ я живу, красивый. | котором | который | которого | которому | В + предложный: в котором.
Q | Девушка, ＿＿ мы познакомились вчера, — студентка. | с которой | которая | которую | которой (без предлога) | Познакомиться с кем: с которой.
Q | Это человек, ＿＿ мы гордимся. | которым | которого | который | которому | Гордиться + творительный: которым.
Q | Всё, ＿＿ он сказал, правда. | что | который | которое | какой | После «всё» — «что».
Q | Тот, ＿＿ работает, зарабатывает. | кто | что | который | какой | «Тот, кто».
Q | Он сделал ＿＿ , что обещал. | то | тот | это | такой | «Он сделал то, что обещал».
Q | Мне нравится ＿＿ фильм. | этот | это | эта | эти | Согласование по роду: этот фильм.
Q | ＿＿ книга лежит на столе. | Эта | Этот | Это | Эти | Согласование с женским родом.
Q | Я купил два ＿＿ . | билета | билеты | билетов | билет | 2–4 + родительный единственного числа.
Q | Я купил пять ＿＿ . | билетов | билета | билеты | билет | 5+ + родительный множественного.
