# gramatica
Q | Er tat so, ＿＿ er nichts gehört hätte. | als ob | wenn | dass | weil | Comparación irreal: als ob + Konjunktiv II.
Q | Wenn ich mehr Zeit ＿＿, würde ich häufiger reisen. | hätte | habe | hatte | gehabt | Irreal del presente: Konjunktiv II de haben.
Q | Wäre er pünktlich gekommen, ＿＿ wir den Zug erreicht. | hätten | haben | würden | hatten | Irreal del pasado: hätten + Partizip II.
Q | Der Mann, ＿＿ Auto gestohlen wurde, ging zur Polizei. | dessen | dem | den | sein | Genitivo relativo masculino: dessen.
Q | Die Frau, mit ＿＿ ich gesprochen habe, ist Ärztin. | der | die | deren | dem | Preposición mit + dativo femenino: der.
Q | Sie fragte mich, ＿＿ ich schon fertig sei. | ob | dass | wenn | weil | Pregunta indirecta sí/no: ob.
Q | Er sagte, er ＿＿ krank. | sei | ist gewesen | wäre werden | war sein | Estilo indirecto: Konjunktiv I (sei).
Q | Das Buch ＿＿ von vielen Studenten gelesen. | wird | hat | ist | wurde worden | Pasiva de proceso presente: wird + Partizip II.
Q | Der Vertrag ＿＿ gestern unterschrieben. | wurde | ist | war | hat | Pasiva en Präteritum: wurde.
Q | Das Fenster ＿＿ offen. | ist | wird | wurde | hat | Estado resultante (Zustandspassiv): ist geöffnet/offen.
Q | Ich freue mich ＿＿ deinen Besuch. | auf | über | an | für | Sich freuen auf = alegrarse por algo futuro.
Q | Ich ärgere mich ＿＿ den Lärm. | über | auf | an | um | Sich ärgern über.
Q | Sie wartet ＿＿ einen Anruf. | auf | an | für | über | Warten auf + Akkusativ.
Q | Er hat sich ＿＿ die Stelle beworben. | um | für | auf | an | Sich bewerben um.
Q | Wir haben lange ＿＿ gesprochen. | darüber | davon dass | wovon | worüber | Adverbio pronominal: darüber (sprechen über).
Q | ＿＿ hast du dich so gefreut? | Worüber | Über was zu | Womit | Wozu | Pregunta con Wor- + preposición.
Q | Nachdem er gegessen ＿＿, ging er spazieren. | hatte | hat | war | wurde | Nachdem + Plusquamperfekt.
Q | Er ist zu müde, ＿＿ noch zu arbeiten. | um | damit | dass | weil | Zu + adjetivo + um ... zu + Infinitiv.
Q | Sie arbeitet viel, ＿＿ ihre Familie zu unterstützen. | um | damit | weil | sodass | Um ... zu con mismo sujeto.
Q | Er spricht laut, ＿＿ ihn alle verstehen. | damit | um | weil | obwohl | Damit con sujeto distinto.
Q | ＿＿ es regnete, gingen wir spazieren. | Obwohl | Weil | Damit | Falls | Obwohl = aunque (concesiva).
Q | Ich bleibe zu Hause, ＿＿ es regnet. | falls | obwohl | damit | sodass | Falls = en caso de que.
Q | Je mehr er lernt, ＿＿ besser wird er. | desto | umso je | als | denn | Je ..., desto ...
Q | Er ist nicht nur klug, ＿＿ auch fleißig. | sondern | aber | denn | oder | Nicht nur ..., sondern auch.
Q | Weder er ＿＿ sie kannte die Antwort. | noch | oder | und | sondern | Weder ... noch.
Q | Entweder wir gehen jetzt, ＿＿ wir kommen zu spät. | oder | sondern | aber | noch | Entweder ... oder.
Q | Er wohnt ＿＿ seiner Tante. | bei | mit | zu | an | Wohnen bei + Dativ.
Q | Wir fahren ＿＿ Wochenende ＿＿ Berlin. | am / nach | im / zu | an / in | auf / bei | am Wochenende; nach + ciudad.
Q | Sie fährt jeden Tag ＿＿ Arbeit. | zur | nach | in der | am | Ir al trabajo: zur Arbeit.
Q | Er hat ein Haus ＿＿ Land gekauft. | auf dem | im | in das | zum | Lugar (Wo?): auf dem Land.
Q | Das Bild hängt ＿＿ der Wand. | an | auf | in | bei | Superficie vertical: an der Wand.
Q | Sie legt das Buch ＿＿ den Tisch. | auf | an | bei | im | Wohin? + Akkusativ: auf den Tisch.
Q | Der Lehrer lobte ＿＿ Schüler. | den | dem | der | des | Loben + Akkusativ.
Q | Er hilft ＿＿ Freund. | seinem | seinen | sein | seines | Helfen + Dativ.
Q | Trotz ＿＿ Regens gingen wir spazieren. | des | der | dem | den | Trotz + Genitiv.
Q | Wegen ＿＿ Krankheit blieb er zu Hause. | seiner | seine | seinem | seinen | Wegen + Genitiv femenino.
Q | Während ＿＿ Ferien haben wir viel gelesen. | der | die | dem | den | Während + Genitiv plural.
Q | Aufgrund ＿＿ Verspätung haben wir den Anschluss verpasst. | der | die | dem | den | Aufgrund + Genitiv.
Q | Der ＿＿ Mann ist mein Onkel. | alte | alter | alten | altes | Nominativo masculino tras artículo definido: -e.
Q | Ich sehe einen ＿＿ Film. | interessanten | interessante | interessanter | interessantes | Akkusativ masculino tras ein-: -en.
Q | Sie trägt ein ＿＿ Kleid. | rotes | roter | rote | roten | Neutro tras ein-: -es.
Q | Mit ＿＿ Kindern spielt sie im Garten. | ihren | ihre | ihrem | ihrer | Dativ plural: ihren.
Q | Das ist das Auto ＿＿ Nachbarn. | meines | mein | meinem | meinen | Genitivo masculino: meines.
Q | Das Bild wurde ＿＿ dem Künstler gemalt. | von | durch | mit | bei | Agente personal en pasiva: von.
Q | Die Tür wurde ＿＿ den Wind geöffnet. | durch | von | mit | bei | Causa/medio: durch.
Q | Ich habe keine Lust, heute ins Kino ＿＿. | zu gehen | gehen zu | zu gegangen | gegangen zu | Lust haben + zu + Infinitiv: zu gehen.
