batchId,filePath,targetType,targetId,hardcodeType,snippetType,status
fisica-lote-01,apps/web/src/generador/fisica/CaidaLibre.ts,fisica,CaidaLibre,MIXED,DOUBLE_SOURCE_FALLBACK,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CaidaLibre.ts,fisica,CaidaLibre,TEXT,STATEMENT_PROMPT_TEMPLATE,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CaidaLibre.ts,fisica,CaidaLibre,PARAM_LIMITS,DIFFICULTY_LIMITS,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CaidaLibre.ts,fisica,CaidaLibre,EXPLANATION,EXPLANATION_TEXT,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Calor.ts,fisica,Calor,MIXED,DOUBLE_SOURCE_FALLBACK,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Calor.ts,fisica,Calor,TEXT,STATEMENT_PROMPT_TEMPLATE,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Calor.ts,fisica,Calor,PARAM_LIMITS,DIFFICULTY_LIMITS,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Calor.ts,fisica,Calor,EXPLANATION,EXPLANATION_TEXT,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CambiosEstado.ts,fisica,CambiosEstado,MIXED,DOUBLE_SOURCE_FALLBACK,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CambiosEstado.ts,fisica,CambiosEstado,TEXT,STATEMENT_PROMPT_TEMPLATE,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CambiosEstado.ts,fisica,CambiosEstado,PARAM_LIMITS,DIFFICULTY_LIMITS,PENDING
fisica-lote-01,apps/web/src/generador/fisica/CambiosEstado.ts,fisica,CambiosEstado,EXPLANATION,EXPLANATION_TEXT,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Caudal.ts,fisica,Caudal,MIXED,DOUBLE_SOURCE_FALLBACK,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Caudal.ts,fisica,Caudal,TEXT,STATEMENT_PROMPT_TEMPLATE,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Caudal.ts,fisica,Caudal,PARAM_LIMITS,DIFFICULTY_LIMITS,PENDING
fisica-lote-01,apps/web/src/generador/fisica/Caudal.ts,fisica,Caudal,EXPLANATION,EXPLANATION_TEXT,PENDING
fisica-lote-01,apps/web/src/generador/fisica/ConservacionEnergia.ts,fisica,ConservacionEnergia,MIXED,DOUBLE_SOURCE_FALLBACK,PENDING
fisica-lote-01,apps/web/src/generador/fisica/ConservacionEnergia.ts,fisica,ConservacionEnergia,TEXT,STATEMENT_PROMPT_TEMPLATE,PENDING
