# gramatica
Q | Not until the report was published ＿＿ the extent of the damage. | did we realise | we realised | we did realise | realised we | Tras "Not until" al inicio se invierte auxiliar + sujeto: did we realise.
Q | Had I known about the delay, I ＿＿ earlier. | would have left | would leave | had left | will have left | Condicional tipo 3 invertido (Had I known): would have + participio.
Q | She insisted that he ＿＿ the contract before Friday. | sign | signs | signed | would signing | Tras insist that en registro formal se usa el subjuntivo: base verb (sign).
Q | It was the manager ＿＿ approved the budget, not the board. | who | whom | which | whose | Oración hendida (cleft) con persona sujeto: who.
Q | By the time the results come out, we ＿＿ for three weeks. | will have been waiting | will wait | have waited | are waiting | Futuro perfecto continuo: duración hasta un momento futuro.
Q | I wish you ＿＿ so much noise last night. | hadn't made | didn't make | wouldn't make | haven't made | Lamento sobre el pasado: wish + past perfect.
Q | Hardly ＿＿ the office when the phone rang. | had she entered | she had entered | did she enter | she entered | Hardly + inversión con past perfect, seguido de when.
Q | The new policy is likely to ＿＿ a significant impact on rural areas. | have | make | do | take | Collocation fija: have an impact on.
Q | He's not the type to ＿＿ down under pressure. | crack | crash | fall | tear | Phrasal/fijo: crack under pressure (quebrarse bajo presión).
Q | ＿＿ the weather, the match went ahead as planned. | Despite | Although | However | Nevertheless | Despite va seguido de sustantivo (the weather); las otras exigen cláusula o puntuación distinta.
Q | If it ＿＿ for your help, I would never have finished. | hadn't been | wasn't | weren't | hasn't been | Fórmula If it hadn't been for + sustantivo (tipo 3).
Q | The suspect is believed ＿＿ the country last night. | to have left | to leave | having left | leaving | Passive con creencia sobre el pasado: to have + participio.
Q | Choose the correct word: The company's ＿＿ was a direct result of poor management. | collapse | collapsing | collapsed | collapsible | Se necesita sustantivo tras el posesivo: collapse.
Q | She looks as ＿＿ she has seen a ghost. | if | than | so | like that | as if introduce una comparación hipotética con cláusula.
Q | Neither candidate ＿＿ suitable for the position. | was | were | are | have been | Neither + sustantivo singular exige verbo singular.
Q | I'd rather you ＿＿ smoke in here. | didn't | don't | won't | wouldn't | I'd rather + sujeto distinto exige pasado simple: didn't.
Q | Little ＿＿ that the meeting had been cancelled. | did they know | they knew | knew they | they did know | Little al inicio (adverbio negativo) exige inversión con did.
Q | The project was completed ＿＿ schedule despite the setbacks. | ahead of | in front of | before of | prior of | Colocación: ahead of schedule (antes de lo previsto).
Q | We've been friends ＿＿ we were at primary school. | since | for | during | from | since + punto de inicio en el pasado con present perfect.
Q | The more he practised, ＿＿ he became. | the more confident | more confident | the most confident | most confidently | Estructura comparativa doble: the + comparativo, the + comparativo.
Q | She ＿＿ have forgotten the meeting; she never misses anything. | can't | mustn't | shouldn't | needn't | Deducción negativa: can't have + participio = imposible.
Q | He denied ＿＿ the money from the safe. | taking | to take | take | having took | Deny + gerundio.
