# gramatica
Q | ＿＿ الطالبُ المجتهدُ في الامتحان. | نجح | نجحت | نجحوا | نجحتم | الفعل يوافق الفاعل المفرد المذكر: نجح.
Q | ＿＿ الطالبةُ المجتهدةُ في الامتحان. | نجحت | نجح | نجحوا | نجحتُم | الفعل يوافق الفاعل المؤنث: نجحت.
Q | إنّ العلمَ ＿＿ . | نورٌ | نورًا | نورَ | نورِ | خبر إنّ مرفوع: نورٌ.
Q | كان الجوُّ ＿＿ . | جميلًا | جميلٌ | جميلِ | جميلَ | خبر كان منصوب: جميلًا.
Q | لن ＿＿ الطالبُ الدرسَ. | يهملَ | يهملُ | يهملْ | أهملَ | لن + مضارع منصوب: يهملَ.
Q | لم ＿＿ الطالبُ الدرسَ. | يهملْ | يهملَ | يهملُ | سيهمل | لم + مضارع مجزوم: يهملْ.
Q | ＿＿ تدرسْ تنجحْ. | إن | لن | لم | كي | إن الشرطية تجزم فعلين.
Q | لو ＿＿ الطالبُ لنجح. | اجتهد | يجتهد | اجتهادًا | مجتهد | لو + ماضٍ في الجواب: لنجح.
Q | جاء الطلابُ ＿＿ . | مسرعين | مسرعون | مسرعان | مسرعِ | الحال منصوب: مسرعين.
Q | اشتريتُ عشرين ＿＿ . | كتابًا | كتابٍ | كتبٌ | كتابُ | العدد 11-99 تمييزه مفرد منصوب.
Q | اشتريتُ ثلاثةَ ＿＿ . | كتبٍ | كتابًا | كتبًا | كتابٍ | العدد 3-10 تمييزه جمع مجرور: كتبٍ.
Q | حضر ＿＿ الطلابِ. | جميعُ | جميعٌ | جميعًا | جميعَ | كلمة جميع فاعل مرفوعة ومضاف.
Q | رأيتُ ＿＿ في الحديقة. | أباكَ | أبوكَ | أبيكَ | أبٌ | الأسماء الخمسة منصوبة بالألف: أباك.
Q | جاء ＿＿ من السفر. | أبوكَ | أباكَ | أبيكَ | أبكَ | الأسماء الخمسة مرفوعة بالواو: أبوك.
Q | سلمتُ على ＿＿ . | أبيكَ | أباكَ | أبوكَ | أبكَ | الأسماء الخمسة مجرورة بالياء: أبيك.
Q | رأيتُ ＿＿ في المدرسة. (جمع مذكر سالم) | المعلمين | المعلمون | المعلمان | المعلمَ | منصوب بالياء: المعلمين.
Q | رأيتُ ＿＿ في الحديقة. (مثنى) | المعلمَين | المعلمانِ | المعلمون | المعلمين | المثنى منصوب بالياء: المعلمَين.
Q | كتبتُ الدرسَ ＿＿ . | بالقلمِ | بالقلمَ | بالقلمُ | بالقلمًا | حرف الجر يجرّ الاسم.
Q | ذهبتُ إلى ＿＿ . | المدرسةِ | المدرسةَ | المدرسةُ | المدرسةً | إلى حرف جر.
Q | أحبُّ ＿＿ الكتبِ. | قراءةَ | قراءةُ | قراءةِ | قراءةٌ | المفعول به منصوب.
Q | جلستُ ＿＿ المعلمِ. | أمامَ | أمامٌ | أمامِ | أمامًا | ظرف مكان منصوب.
Q | ما ＿＿ إلا محمدٌ. | جاء | جاءت | جاءوا | جاءا | ما ... إلا: الفعل مع الفاعل المفرد.
Q | جاء القومُ إلا ＿＿ . | زيدًا | زيدٌ | زيدٍ | زيدُ | المستثنى بإلا بعد كلام تام مثبت منصوب.
Q | الطالبُ الذي ＿＿ مجتهدٌ. | نجح | نجحت | نجحوا | نجحتم | الصلة بعد الذي: نجح.
Q | المعلمةُ التي ＿＿ مجتهدةٌ. | نجحت | نجح | نجحوا | نجحتم | الصلة بعد التي: نجحت.
Q | أعرفُ الطلابَ ＿＿ نجحوا. | الذين | الذي | اللذان | اللاتي | الاسم الموصول للجمع المذكر: الذين.
Q | ＿＿ يدرسْ ينجحْ. | من | ما | أين | لماذا | من الشرطية: من يدرسْ ينجحْ.
Q | ＿＿ تفعلْ أفعلْ. | ما | من | أين | لماذا | ما الشرطية: ما تفعلْ أفعلْ.
Q | أينما ＿＿ أذهبْ. | تذهبْ | تذهبَ | تذهبُ | ذهبت | أينما تجزم الفعلين.
Q | حيثما ＿＿ أجلسْ. | تجلسْ | تجلسُ | تجلسَ | جلست | حيثما شرطية جازمة.
Q | كم ＿＿ ثمنُ الكتابِ؟ | يبلغُ | يبلغون | تبلغُ | بلغوا | كم الاستفهامية + فعل مفرد.
Q | ＿＿ الطلابُ في الصفِّ؟ | هل | ما | لم | لن | هل حرف استفهام.
Q | ＿＿ ذهبتَ إلى المدرسة؟ | لماذا | ماذا | مَن | كم | لماذا للسؤال عن السبب.
Q | ＿＿ يفعلُ ذلك؟ | مَن | ما | كم | أيّ | مَن للسؤال عن العاقل.
Q | ما هذا؟ هذا ＿＿ . | كتابٌ | كتابًا | كتابٍ | كتابَ | خبر مرفوع.
Q | يا ＿＿ ! | محمدُ | محمدٌ | محمدًا | محمدِ | المنادى المفرد العلم مبني على الضم: يا محمدُ.
Q | يا ＿＿ الله! (مضاف) | عبدَ | عبدُ | عبدِ | عبدٌ | المنادى المضاف منصوب: يا عبدَ الله.
Q | ＿＿ المعلمُ الطلابَ. | يعلّمُ | يعلّمَ | يعلّمْ | تعلّمَ | مضارع مرفوع.
Q | أريدُ أن ＿＿ . | أذهبَ | أذهبُ | أذهبْ | ذهبتُ | أن + مضارع منصوب.
Q | لا ＿＿ إلى المدرسةِ. (نهي) | تذهبْ | تذهبُ | تذهبَ | ذهبتَ | لا الناهية تجزم.
Q | ＿＿ الكتابَ! (أمر) | اقرأْ | تقرأُ | قرأَ | قرأتَ | فعل الأمر مبني على السكون.
Q | كُتبَ ＿＿ . (نائب فاعل) | الدرسُ | الدرسَ | الدرسِ | الدرسٌ | نائب الفاعل مرفوع.
Q | المصدرُ من الفعلِ «دَرَسَ» هو | دراسة | مدرسة | دارس | مدروس | مصدر دَرَسَ: دراسة.
Q | المصدرُ من الفعلِ «استخرجَ» هو | استخراج | إخراج | تخريج | خروج | مصدر استفعل: استفعال.
Q | اسمُ الفاعلِ من «كتبَ» هو | كاتب | مكتوب | كتابة | مكتب | اسم الفاعل: فاعِل.
Q | اسمُ المفعولِ من «كتبَ» هو | مكتوب | كاتب | كتابة | مكتب | اسم المفعول: مفعول.
Q | اسمُ المكانِ من «درسَ» هو | مدرسة | دارس | دراسة | مدروس | اسم المكان: مفعلة.
Q | اسمُ الآلةِ من «فتحَ» هو | مفتاح | فاتح | فتح | مفتوح | اسم الآلة: مفتاح.
Q | جمعُ «كتاب» هو | كتب | كتابات | كتّاب (بالتشديد جمع كاتب) | كتائب | جمع التكسير: كتب.
Q | جمعُ «رجل» هو | رجال | رجلون | رجلات | رجولة | جمع تكسير: رجال.
Q | جمعُ «مدينة» هو | مدن | مدينات | مدائن (نادر) | مدينون | جمع تكسير: مدن.
Q | مؤنثُ «معلّم» هو | معلّمة | معلّم | معلّمون | معلّمات (جمع) | التأنيث بالتاء المربوطة.
Q | ضدُّ «كبير» هو | صغير | ضخم | طويل | قصير | التضاد: كبير ↔ صغير.
Q | ضدُّ «قريب» هو | بعيد | قصير | جديد | كبير | قريب ↔ بعيد.
Q | ضدُّ «سهل» هو | صعب | جميل | سريع | بطيء | سهل ↔ صعب.
Q | ضدُّ «ازدهار» هو | تدهور | تقدّم | نموّ | تطوّر | ازدهار ↔ تدهور.
Q | ضدُّ «تفاؤل» هو | تشاؤم | أمل | سرور | فرح | تفاؤل ↔ تشاؤم.
Q | ضدُّ «مشاركة» هو | انسحاب | اشتراك | تعاون | حضور | مشاركة ↔ انسحاب (غياب عن الاشتراك).
Q | مرادفُ «يسعى» هو | يحاول | يهرب | ينام | يغضب | يسعى ≈ يحاول.
Q | مرادفُ «شاسع» هو | واسع | ضيّق | قريب | بارد | شاسع ≈ واسع.
Q | مرادفُ «يشيد» هو | يبني | يهدم | يدفع | يغلق | يشيد ≈ يبني.
Q | مرادفُ «عاجل» هو | سريع | بطيء | قديم | بعيد | عاجل ≈ سريع.
Q | مرادفُ «قلّص» هو | خفّض | زاد | ضاعف | بنى | قلّص ≈ خفّض.
Q | مرادفُ «أسهم» هو | ساهم | منع | خسر | أخّر | أسهم ≈ ساهم.
Q | معنى «يتّخذ قرارًا» هو | يقرّر | يبيع | يكتب | يقرأ | اتخذ قرارًا = قرّر.
Q | التعبير الصحيح: ＿＿ القرارَ. | اتّخذَ | أخذَ من | صنعَ في | وضعَ على | يقال: اتخذ القرار.
Q | التعبير الصحيح: ＿＿ دورًا مهمًا. | لعب | حمل | أكل | سمع | يقال: لعب دورًا.
Q | التعبير الصحيح: ＿＿ مسؤولية. | تحمّل | أكل | شرب | نام | يقال: تحمّل مسؤولية.
Q | التعبير الصحيح: ＿＿ أثرًا كبيرًا. | ترك | كتب | سمع | أكل | يقال: ترك أثرًا.
Q | التعبير الصحيح: ＿＿ فرصة. | اغتنم | أكل | شرب | نام | يقال: اغتنم فرصة.
Q | التعبير الصحيح: ＿＿ الخطر. | تجنّب | أكل | شرب | كتب | يقال: تجنّب الخطر.
Q | التعبير الصحيح: ＿＿ على المشكلة. | تغلّب | كتب | أكل | شرب | يقال: تغلّب على المشكلة.
Q | التعبير الصحيح: ＿＿ حلًّا. | اقترح | أكل | شرب | نام | يقال: اقترح حلًّا.
Q | حرف الجر المناسب: يعتمد الأمرُ ＿＿ الظروف. | على | في | إلى | من | اعتمد على.
Q | حرف الجر المناسب: يفكّر الطالبُ ＿＿ المستقبل. | في | على | إلى | من | فكّر في.
Q | حرف الجر المناسب: يهتمّ الطبيبُ ＿＿ المرضى. | بـ | على | في | إلى | اهتمّ بـ.
Q | حرف الجر المناسب: يشارك الطلابُ ＿＿ المسابقة. | في | على | بـ | إلى | شارك في.
Q | حرف الجر المناسب: تخرّج الطالبُ ＿＿ الجامعة. | من | في | إلى | على | تخرّج من.
Q | حرف الجر المناسب: يبحث الباحثُ ＿＿ الحقيقة. | عن | في | على | إلى | بحث عن.
Q | حرف الجر المناسب: يتحدّث المعلمُ ＿＿ الموضوع. | عن | إلى | على | مِن | تحدّث عن.
Q | حرف الجر المناسب: يعاني المريضُ ＿＿ الألم. | من | إلى | على | في | عانى من.
Q | حرف الجر المناسب: أصرّ الطالبُ ＿＿ رأيه. | على | في | إلى | مِن | أصرّ على.
Q | حرف الجر المناسب: اشتاق المسافرُ ＿＿ وطنه. | إلى | من | على | في | اشتاق إلى.
Q | حرف الجر المناسب: يؤمن المؤمنُ ＿＿ الله. | بـ | في | على | إلى | آمن بـ.
Q | حرف الجر المناسب: تعوّد الطالبُ ＿＿ السهر. | على | في | بـ | إلى | تعوّد على.
Q | اختر الكتابة الصحيحة: | مكتبة | مكتبه | مكتبت | مكتبتة | التاء المربوطة في آخر المفرد المؤنث.
