# gramatica
Q | राम ＿＿ किताब पढ़ी। | ने | को | से | में | सकर्मक क्रिया के भूतकाल में कर्ता के साथ ने: राम ने किताब पढ़ी।
Q | सीता ＿＿ चिट्ठी लिखी। | ने | को | से | पर | भूतकाल में कर्ता + ने.
Q | लड़कों ने खाना ＿＿ । | खाया | खाई | खाए | खाओ | कर्म «खाना» (पु.) के अनुसार क्रिया: खाया।
Q | लड़कियों ने रोटी ＿＿ । | खाई | खाया | खाए | खाओ | कर्म «रोटी» (स्त्री.) के अनुसार: खाई।
Q | उसने आम ＿＿ । | खाए | खाया | खाई | खाओ | कर्म «आम» (बहुवचन) के अनुसार: खाए।
Q | मैंने पत्र ＿＿ । | लिखा | लिखी | लिखे | लिखो | कर्म «पत्र» (पु.) के अनुसार: लिखा।
Q | मैंने कहानी ＿＿ । | सुनी | सुना | सुने | सुनो | कर्म «कहानी» (स्त्री.) के अनुसार: सुनी।
Q | उसे बुखार ＿＿ । | है | हैं | था हैं | होते | «उसे बुखार है» में क्रिया एकवचन: है।
Q | मुझे किताब ＿＿ । | चाहिए | चाहते हैं | चाहता हूँ | चाहिएँ | «मुझे किताब चाहिए»।
Q | तुम ＿＿ क्या कर रहे हो? | यहाँ | यहीं का | यहाँ के | यहाँ से | प्रश्नवाचक वाक्य।
Q | आप कहाँ ＿＿ ? | रहते हैं | रहता है | रहते है | रहतीं | आदरार्थ बहुवचन: रहते हैं।
Q | वह ＿＿ आया था। | कल | कल को | कल से | कल में | समय: कल.
Q | घर ＿＿ अंदर कौन है? | के | की | का | में | «के अंदर» संबंध कारक तिर्यक रूप।
Q | मेज़ ＿＿ ऊपर किताब है। | के | की | का | से | «के ऊपर»: मेज़ (स्त्री.) फिर भी «के» लगता है।
Q | मेरी बहन ＿＿ पास घर है। | के | की | का | से | «के पास»: संबंध कारक तिर्यक।
Q | यह किसकी किताब है? | मेरी | मेरा | मेरे | मैं | «किताब» स्त्रीलिंग: मेरी।
