# gramatica
Q | 어제 늦게 자＿＿ 오늘 너무 피곤해요. | 서 | 려고 | 거든 | 도록 | 원인: -아/어서 (자서).
Q | 비가 오＿＿ 우산을 가져가세요. | 니까 | 아서 | 는데도 | 려고 | 명령문 앞의 이유: -(으)니까.
Q | 길이 막히＿＿ 약속에 늦었어요. | 는 바람에 | 는 김에 | 려고 | 기 위해 | 부정적 결과의 원인: -는 바람에.
Q | 시장에 가는 ＿＿ 채소도 좀 사 오세요. | 김에 | 바람에 | 만큼 | 대로 | -는 김에 = aprovechando que.
Q | 문을 연 ＿＿ 잠을 잤어요. | 채로 | 대로 | 뿐 | 만 | -(으)ㄴ 채로 = dejando en ese estado.
Q | 집에 도착하＿＿ 비가 오기 시작했어요. | 자마자 | 는 동안 | 기 전에 | 려고 | -자마자 = en cuanto.
Q | 시험에 합격하＿＿ 열심히 공부했어요. | 려고 | 니까 | 는데도 | 자마자 | -(으)려고 = con la intención de.
Q | 음악을 들으＿＿ 공부해요. | 면서 | 자마자 | 려고 | 거든 | -(으)면서 = mientras (simultaneidad).
Q | 살이 빠지＿＿ 옷이 헐렁해졌어요. | 니까 | 도록 | 기 위해 | ㄴ다면 | Constatación: -(으)니까.
Q | 넘어질 ＿＿ 했어요. | 뻔 | 만 | 수 | 줄 | -(으)ㄹ 뻔하다 = casi.
Q | 그 영화는 볼 ＿＿ 있어요. | 만해 | 만한 | 만하고 | 만해도 | -(으)ㄹ 만하다 (관형형: 만한 가치가 있다).
Q | 한국에 가 본 ＿＿ 있어요? | 적이 | 줄이 | 수가 | 뻔이 | -(으)ㄴ 적이 있다 = experiencia.
Q | 한국어를 잘하＿＿ 매일 연습해야 해요. | 려면 | 자면 | 니까 | 거나 | 의도 + 조건: -(으)려면.
Q | 내일 비가 올＿＿ 봐 우산을 가져왔어요. | 까 | 지 | 게 | 도 | -(으)ㄹ까 봐 = por si acaso.
Q | 나이가 많＿＿ 열심히 일해요. | 은데도 | 으니까 | 으려고 | 도록 | 양보: -(으)ㄴ데도.
Q | 늦＿＿ 꼭 전화해 주세요. | 더라도 | 려고 | 자마자 | 는 김에 | -더라도 = aunque.
Q | 아무리 노력＿＿ 잘 안 돼요. | 해도 | 하면 | 하려고 | 하니까 | 아무리 -아/어도.
Q | 공부하＿＿ 잠을 못 잤어요. | 느라고 | 려고 | 도록 | 자마자 | -느라고 = por estar ocupado con algo.
Q | 한국 사람＿＿ 한국어를 잘해요. | 처럼 | 보다 | 마다 | 부터 | 처럼 = como.
Q | 저＿＿ 동생이 더 커요. | 보다 | 처럼 | 마다 | 밖에 | 비교: 보다.
Q | 돈이 천 원＿＿ 없어요. | 밖에 | 만 | 도 | 까지 | 밖에 + 부정 = solo.
Q | 사람＿＿ 생각이 달라요. | 마다 | 처럼 | 보다 | 밖에 | 마다 = cada.
Q | 친구＿＿ 선물을 줬어요. | 에게 | 에서 | 으로 | 를 | 대상: 에게.
Q | 할머니＿＿ 선물을 드렸어요. | 께 | 한테 | 에게 | 에서 | 높임 조사: 께.
Q | 학교＿＿ 집까지 걸어서 20분 걸려요. | 에서 | 에게 | 께 | 로 | 출발점: 에서.
Q | 버스＿＿ 학교에 가요. | 로 | 를 | 께 | 에게 | 수단: (으)로.
Q | 아침 9시＿＿ 오후 6시까지 일해요. | 부터 | 마다 | 보다 | 처럼 | 부터 ~ 까지.
Q | 높임말로: 선생님께서 지금 책을 읽고 ＿＿ . | 계세요 | 있어요 | 있다 | 있니 | 높임: 계시다.
Q | 할아버지, 진지 ＿＿ ? | 드셨어요 | 먹었어요 | 먹었니 | 먹어 | 높임 어휘: 드시다.
Q | 어머니께서 집에 ＿＿ . | 계세요 | 있어요 | 계다 | 있니 | 계시다 = 있다 존칭.
Q | 합쇼체(격식체)로: 저는 대학교에 다니는 학생 ＿＿ . | 입니다 | 이야 | 이다 | 이니 | 격식체: -입니다.
Q | 수업이 끝＿＿ 도서관에 갈 거예요. | 나서 | 자마자 | 니까 | 는데 | -고 나서 = después de.
Q | 어렸을 때 매일 축구를 ＿＿ 했어요. | 하곤 | 할 | 하는 | 해서 | -곤 하다 = solía.
Q | 그는 노래를 잘 ＿＿ . | 부르나 봐요 | 부르나요 나 | 부르는 봐요 | 불러 봐요 | 추측: -나 보다.
Q | 벌써 집에 갔＿＿ 봐요. | 나 | 는 | 을 | 은 | 과거 추측: -았/었나 보다.
Q | 내일은 비가 올 ＿＿ . | 것 같아요 | 것이에요 같아 | 는 같아요 | 은 것 같은 | -(으)ㄹ 것 같다 = probablemente.
Q | 벌써 열두 시네요. 지금 자＿＿ 내일 일찍 일어날 수 있어요. | 야 | 면서 | 도록 | 려고 | -아/어야 = solo si.
Q | 이 책은 재미있＿＿ 감동적이에요. | 고 | 도록 | 려고 | 자마자 | 나열: -고.
Q | 이 옷은 예쁘＿＿ 비싸요. | 지만 | 도록 | 려고 | 자마자 | 대조: -지만.
Q | 주말에는 영화를 보＿＿ 책을 읽어요. | 거나 | 지만 | 니까 | 도록 | 선택: -거나.
Q | 방이 깨끗하＿＿ 청소했어요. | 도록 | 려고 | 지만 | 는데도 | -도록 = para que (resultado deseado).
